epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.21666666865348816,0.5435643792152405,9.999999747378752e-05,0.7230201363563538,0.29118868708610535,0.6092951893806458,0.3033333420753479,0.4411671757698059,0.6911217570304871,0.2199999988079071,0.300455242395401
1,0.20666666328907013,0.5684699416160583,9.999999747378752e-05,0.679410457611084,0.32025274634361267,0.49182838201522827,0.3033333420753479,0.44231200218200684,0.6812981963157654,0.2199999988079071,0.300455242395401
2,0.20888888835906982,0.6084376573562622,9.999999747378752e-05,0.644709050655365,0.3683972954750061,0.41675180196762085,0.3033333420753479,0.4593295753002167,0.667171835899353,0.3033333420753479,0.13808801770210266
3,0.2266666740179062,0.6368926167488098,9.999999747378752e-05,0.6185129880905151,0.4150943458080292,0.3595505654811859,0.3033333420753479,0.46767422556877136,0.65130215883255,0.3033333420753479,0.13808801770210266
4,0.2433333396911621,0.6533256769180298,9.999999747378752e-05,0.6006425023078918,0.43726521730422974,0.29724207520484924,0.3033333420753479,0.4924890100955963,0.6371776461601257,0.3033333420753479,0.13808801770210266
5,0.2622222304344177,0.680318295955658,9.999999747378752e-05,0.5820800065994263,0.5184484124183655,0.2798774242401123,0.3033333420753479,0.5352839827537537,0.6237706542015076,0.3033333420753479,0.13808801770210266
6,0.2522222101688385,0.698541522026062,9.999999747378752e-05,0.568024754524231,0.5279720425605774,0.23135852813720703,0.3033333420753479,0.5998392701148987,0.6093883514404297,0.3033333420753479,0.13808801770210266
7,0.27222222089767456,0.7184755802154541,9.999999747378752e-05,0.554859459400177,0.5729442834854126,0.22063329815864563,0.3033333420753479,0.650294303894043,0.5913887619972229,0.3033333420753479,0.13808801770210266
8,0.2822222113609314,0.734979510307312,9.999999747378752e-05,0.5441827774047852,0.5958395004272461,0.2048008143901825,0.3033333420753479,0.6920695304870605,0.5746307969093323,0.33449476957321167,0.14567527174949646
9,0.27000001072883606,0.7467038631439209,9.999999747378752e-05,0.5345438122749329,0.6441821455955505,0.19509704411029816,0.3033333420753479,0.7301731109619141,0.555692195892334,0.7112675905227661,0.15326252579689026
10,0.2888889014720917,0.7622129917144775,9.999999747378752e-05,0.5253143906593323,0.6793650984764099,0.2185903936624527,0.3566666543483734,0.7677868604660034,0.5378454327583313,0.8931297659873962,0.17754173278808594
11,0.28777778148651123,0.7645049691200256,9.999999747378752e-05,0.5203686952590942,0.6745362281799316,0.20429009199142456,0.4033333361148834,0.8080146312713623,0.521354615688324,0.9274193644523621,0.17450682818889618
12,0.3166666626930237,0.7814867496490479,9.999999747378752e-05,0.5132043361663818,0.7121770977973938,0.1971399337053299,0.4466666579246521,0.8424884080886841,0.5072450637817383,0.9300000071525574,0.14112290740013123
13,0.3400000035762787,0.7908605933189392,9.999999747378752e-05,0.5060532689094543,0.7065026164054871,0.20531153678894043,0.4466666579246521,0.8572854995727539,0.4966202676296234,0.8913043737411499,0.12443095445632935
14,0.35111111402511597,0.7997488975524902,9.999999747378752e-05,0.49980658292770386,0.7245080471038818,0.20684371888637543,0.4333333373069763,0.8678898215293884,0.48762238025665283,0.8586956262588501,0.1198786050081253
15,0.35555556416511536,0.8082212805747986,9.999999747378752e-05,0.49289312958717346,0.7543859481811523,0.21961185336112976,0.5133333206176758,0.8770960569381714,0.4795379638671875,0.8602150678634644,0.12139605730772018
16,0.3933333456516266,0.8220865726470947,9.999999747378752e-05,0.48439499735832214,0.7845911979675293,0.2548518776893616,0.5433333516120911,0.882938802242279,0.47262126207351685,0.8425925970077515,0.13808801770210266
17,0.3766666650772095,0.8164188265800476,9.999999747378752e-05,0.4869423806667328,0.7373737096786499,0.22369764745235443,0.6299999952316284,0.8874567747116089,0.46697062253952026,0.8794326186180115,0.1881638914346695
18,0.4300000071525574,0.8263354301452637,9.999999747378752e-05,0.4785934090614319,0.7577639818191528,0.2492339164018631,0.5933333039283752,0.894298791885376,0.46196502447128296,0.8770492076873779,0.16236722469329834
19,0.39444443583488464,0.8280856609344482,9.999999747378752e-05,0.47468993067741394,0.7845219969749451,0.26404494047164917,0.6333333253860474,0.8976392149925232,0.45712804794311523,0.887499988079071,0.21547800302505493
20,0.448888897895813,0.8405670523643494,9.999999747378752e-05,0.46716317534446716,0.7932011485099792,0.2860061228275299,0.5866666436195374,0.8994172811508179,0.45108485221862793,0.9028571248054504,0.2397572100162506
21,0.46222221851348877,0.8441032767295837,9.999999747378752e-05,0.4625191390514374,0.796657383441925,0.2921348214149475,0.6800000071525574,0.9037652015686035,0.4450394809246063,0.8899521827697754,0.28224581480026245
22,0.4677777886390686,0.8521932363510132,9.999999747378752e-05,0.45538330078125,0.8021534085273743,0.3043922483921051,0.6333333253860474,0.9055546522140503,0.44008147716522217,0.8985507488250732,0.28224581480026245
23,0.49444442987442017,0.8639984130859375,9.999999747378752e-05,0.44815632700920105,0.8125,0.32533198595046997,0.6366666555404663,0.9066162109375,0.4350540041923523,0.9194312691688538,0.2943854331970215
24,0.4855555593967438,0.8602386116981506,9.999999747378752e-05,0.44861724972724915,0.8218623399734497,0.31103166937828064,0.6366666555404663,0.9135450124740601,0.4297678768634796,0.9136363863945007,0.30500757694244385
25,0.4955555498600006,0.8600847125053406,9.999999747378752e-05,0.44735249876976013,0.7982004880905151,0.31716036796569824,0.6700000166893005,0.9166861772537231,0.4252638518810272,0.9254385828971863,0.32018208503723145
26,0.554444432258606,0.8691095113754272,9.999999747378752e-05,0.4400574862957001,0.8187660574913025,0.32533198595046997,0.70333331823349,0.9216725826263428,0.4209447205066681,0.922764241695404,0.3444612920284271
27,0.5288888812065125,0.876325249671936,9.999999747378752e-05,0.43393832445144653,0.8237367868423462,0.3580183982849121,0.7433333396911621,0.9240363836288452,0.4176974892616272,0.9406392574310303,0.31259483098983765
28,0.5477777719497681,0.8799618482589722,9.999999747378752e-05,0.42970576882362366,0.8398576378822327,0.36159345507621765,0.7400000095367432,0.9268385171890259,0.413534551858902,0.9392712712287903,0.3520485460758209
29,0.54666668176651,0.881497323513031,9.999999747378752e-05,0.4268432557582855,0.8504027724266052,0.3774259388446808,0.746666669845581,0.9303354620933533,0.4087360203266144,0.9372385144233704,0.3399089574813843
30,0.5666666626930237,0.8865954279899597,9.999999747378752e-05,0.42337992787361145,0.8299319744110107,0.37385088205337524,0.7233333587646484,0.9342793822288513,0.4051830768585205,0.9490196108818054,0.3672230541706085
31,0.5855555534362793,0.8871508240699768,9.999999747378752e-05,0.4215356111526489,0.845564067363739,0.3942798674106598,0.7133333086967468,0.9367111921310425,0.39950796961784363,0.9372937083244324,0.43095600605010986
32,0.5744444727897644,0.8899627327919006,9.999999747378752e-05,0.41775861382484436,0.8447136282920837,0.3917262554168701,0.7166666388511658,0.9387367367744446,0.3969596326351166,0.9401993155479431,0.4294385313987732
33,0.6033333539962769,0.8972746133804321,9.999999747378752e-05,0.4096580445766449,0.8523706793785095,0.4039836525917053,0.6866666674613953,0.9389442205429077,0.3920530080795288,0.9409835934638977,0.4355083405971527
34,0.602222204208374,0.8972593545913696,9.999999747378752e-05,0.40737396478652954,0.8625792860984802,0.41675180196762085,0.75,0.9440421462059021,0.38925081491470337,0.9520295262336731,0.3915022909641266
35,0.6111111044883728,0.9038608074188232,9.999999747378752e-05,0.4039830267429352,0.8621420860290527,0.41521960496902466,0.6899999976158142,0.9447363615036011,0.38422757387161255,0.9424242377281189,0.4719271659851074
