epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7200000286102295,0.0010000000474974513,1.027126669883728,0.11562500149011612,2.1806986331939697
1,0.9785937666893005,0.0010000000474974513,0.2796627879142761,0.36812499165534973,1.823940396308899
2,0.9951562285423279,0.0010000000474974513,0.11678159981966019,1.0,0.11321631073951721
3,0.9976562261581421,0.0010000000474974513,0.06473910063505173,1.0,0.013455238193273544
4,0.9985937476158142,0.0010000000474974513,0.0440860353410244,1.0,0.005924616474658251
5,0.9995312690734863,0.0010000000474974513,0.029982680454850197,1.0,0.0029437262564897537
6,0.9993749856948853,0.0010000000474974513,0.021740145981311798,1.0,0.0020801343489438295
7,0.9990624785423279,0.0010000000474974513,0.019672084599733353,1.0,0.001101963804103434
8,0.9993749856948853,0.0010000000474974513,0.015187200158834457,1.0,0.0011155668180435896
9,0.999218761920929,0.0010000000474974513,0.012002642266452312,1.0,0.0005832246388308704
10,0.9990624785423279,0.0010000000474974513,0.011390344239771366,1.0,0.0007479035994037986
11,0.9993749856948853,0.0010000000474974513,0.009163913317024708,1.0,0.00043823945452459157
12,0.9987499713897705,0.0010000000474974513,0.008470438420772552,1.0,0.0003600848722271621
13,0.9996874928474426,0.0005000000237487257,0.00706728408113122,1.0,0.00023233990941662341
14,0.9995312690734863,0.0005000000237487257,0.006530007813125849,1.0,0.0002281486667925492
15,0.9993749856948853,0.0005000000237487257,0.006727619096636772,1.0,0.00022755142708774656
16,0.9995312690734863,0.0005000000237487257,0.005443367175757885,1.0,0.00017879129154607654
17,0.9996874928474426,0.0005000000237487257,0.005431228317320347,1.0,0.00013706067693419755
18,0.9996874928474426,0.0005000000237487257,0.005529037211090326,1.0,0.00013618615048471838
19,0.9996874928474426,0.0005000000237487257,0.005010553635656834,1.0,0.00011314861330902204
20,0.9998437762260437,0.0005000000237487257,0.004405962768942118,1.0,8.510050975019112e-05
21,0.9998437762260437,0.0005000000237487257,0.004003552719950676,1.0,7.36439396860078e-05
22,0.9998437762260437,0.0005000000237487257,0.004232673905789852,1.0,5.708635944756679e-05
